Relatório de filme
-------------------
QuadroQuadro #    Quadro Bytes    Total Bytes    Página
--------------    ------------    -----------    -----------------
    1       2559072        2559072        Cena 35
    2          4496        2563568        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s)
    3             9        2563577          2
    4             9        2563586          3
    5             9        2563595          4
    6             9        2563604          5
    7             9        2563613          6
    8             9        2563622          7
    9             9        2563631          8
   10             9        2563640          9
   11             9        2563649          10
   12             9        2563658          11
   13             9        2563667          12
   14             9        2563676          13
   15             9        2563685          14
   16             9        2563694          15
   17             9        2563703          16
   18             9        2563712          17
   19             9        2563721          18
   20             9        2563730          19
   21             9        2563739          20
   22             9        2563748          21
   23             9        2563757          22
   24             9        2563766          23
   25             9        2563775          24
   26             9        2563784          25
   27             9        2563793          26
   28             9        2563802          27
   29             9        2563811          28
   30             9        2563820          29
   31             9        2563829          30
   32             9        2563838          31
   33             9        2563847          32
   34             9        2563856          33
   35             9        2563865          34
   36           104        2563969          35
   37           309        2564278          36
   38             9        2564287          37
   39             9        2564296          38
   40             9        2564305          39
   41             9        2564314          40
   42             9        2564323          41
   43             9        2564332          42
   44             9        2564341          43
   45             9        2564350          44
   46             9        2564359          45
   47             9        2564368          46
   48             9        2564377          47
   49             9        2564386          48
   50             9        2564395          49
   51             9        2564404          50
   52             9        2564413          51
   53             9        2564422          52
   54             9        2564431          53
   55             9        2564440          54
   56             9        2564449          55
   57             9        2564458          56
   58             9        2564467          57
   59             9        2564476          58
   60             9        2564485          59
   61             9        2564494          60
   62             9        2564503          61
   63             9        2564512          62
   64             9        2564521          63
   65             9        2564530          64
   66             9        2564539          65
   67             9        2564548          66
   68             9        2564557          67
   69             9        2564566          68
   70             9        2564575          69
   71             9        2564584          70
   72             9        2564593          71
   73             9        2564602          72
   74             9        2564611          73
   75             9        2564620          74
   76             9        2564629          75
   77             9        2564638          76
   78             9        2564647          77
   79             9        2564656          78
   80             9        2564665          79
   81           112        2564777          80
   82            20        2564797          81
   83            13        2564810          82
   84            13        2564823          83
   85            13        2564836          84
   86            13        2564849          85
   87            13        2564862          86
   88            13        2564875          87
   89            13        2564888          88
   90            13        2564901          89
   91             8        2564909          90
   92             2        2564911          91
   93             2        2564913          92
   94             2        2564915          93
   95             2        2564917          94
   96             2        2564919          95
   97             2        2564921          96
   98             2        2564923          97
   99             2        2564925          98
  100             2        2564927          99
  101             2        2564929          100
  102             2        2564931          101
  103             2        2564933          102
  104             2        2564935          103
  105             2        2564937          104
  106             2        2564939          105
  107             2        2564941          106
  108             2        2564943          107
  109             2        2564945          108
  110             2        2564947          109
  111             2        2564949          110
  112             2        2564951          111
  113             2        2564953          112
  114             2        2564955          113
  115             2        2564957          114
  116             2        2564959          115
  117             2        2564961          116
  118             2        2564963          117
  119             2        2564965          118
  120             2        2564967          119
  121             2        2564969          120
  122             2        2564971          121
  123             2        2564973          122
  124             2        2564975          123
  125             2        2564977          124
  126             2        2564979          125
  127             2        2564981          126
  128             2        2564983          127
  129             2        2564985          128
  130             2        2564987          129
  131             2        2564989          130
  132             2        2564991          131
  133             2        2564993          132
  134             2        2564995          133
  135             2        2564997          134
  136             2        2564999          135
  137             2        2565001          136
  138             2        2565003          137
  139             2        2565005          138
  140             2        2565007          139
  141             2        2565009          140
  142             2        2565011          141
  143             2        2565013          142
  144             2        2565015          143
  145             2        2565017          144
  146             2        2565019          145
  147             2        2565021          146
  148             2        2565023          147
  149             2        2565025          148
  150             2        2565027          149
  151            10        2565037          150
  152           970        2566007        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) copiado(s) copiado(s)
  153            16        2566023          2
  154            16        2566039          3
  155            16        2566055          4
  156            16        2566071          5
  157            22        2566093          6
  158             2        2566095          7
  159             2        2566097          8
  160             2        2566099          9
  161             2        2566101          10
  162            84        2566185          11
  163            21        2566206          12
  164            21        2566227          13
  165            21        2566248          14
  166            53        2566301          15
  167            50        2566351          16
  168            50        2566401          17
  169            50        2566451          18
  170            50        2566501          19
  171          9490        2575991          20
  172         20911        2596902          21
  173            38        2596940          22
  174            38        2596978          23
  175            38        2597016          24
  176            39        2597055          25
  177            39        2597094          26
  178            39        2597133          27
  179            39        2597172          28
  180           145        2597317          29
  181           796        2598113          30
  182            26        2598139          31
  183            26        2598165          32
  184            26        2598191          33
  185            26        2598217          34
  186           433        2598650          35
  187            19        2598669          36
  188            19        2598688          37
  189            19        2598707          38
  190            19        2598726          39
  191            19        2598745          40
  192            19        2598764          41
  193            19        2598783          42
  194            19        2598802          43
  195           130        2598932          44
  196            32        2598964          45
  197            32        2598996          46
  198            32        2599028          47
  199           118        2599146          48
  200             2        2599148          49
  201             2        2599150          50
  202             2        2599152          51
  203             2        2599154          52
  204             2        2599156          53
  205             2        2599158          54
  206             2        2599160          55
  207           826        2599986          56
  208          1260        2601246        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) copiado(s) 1
  209            12        2601258          2
  210            12        2601270          3
  211            12        2601282          4
  212           161        2601443          5
  213            28        2601471          6
  214            19        2601490          7
  215            19        2601509          8
  216            19        2601528          9
  217            19        2601547          10
  218            19        2601566          11
  219            19        2601585          12
  220            19        2601604          13
  221            19        2601623          14
  222            19        2601642          15
  223            19        2601661          16
  224            19        2601680          17
  225            19        2601699          18
  226            19        2601718          19
  227            19        2601737          20
  228            19        2601756          21
  229            19        2601775          22
  230            19        2601794          23
  231            19        2601813          24
  232            19        2601832          25
  233            19        2601851          26
  234            18        2601869          27
  235            18        2601887          28
  236            18        2601905          29
  237            90        2601995          30
  238            11        2602006          31
  239            11        2602017          32
  240            11        2602028          33
  241            10        2602038          34
  242            16        2602054          35
  243          1668        2603722        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) copiado(s)
  244            17        2603739          2
  245            17        2603756          3
  246            17        2603773          4
  247            17        2603790          5
  248            17        2603807          6
  249            17        2603824          7
  250            28        2603852          8
  251            26        2603878          9
  252          1098        2604976          10
  253            18        2604994          11
  254            21        2605015          12
  255             9        2605024          13
  256             9        2605033          14
  257           608        2605641          15
  258            31        2605672          16
  259            31        2605703          17
  260            31        2605734          18
  261            31        2605765          19
  262           179        2605944          20
  263            27        2605971          21
  264            18        2605989          22
  265            18        2606007          23
  266            18        2606025          24
  267            19        2606044          25
  268            19        2606063          26
  269            19        2606082          27
  270            19        2606101          28
  271            19        2606120          29
  272            19        2606139          30
  273            19        2606158          31
  274            19        2606177          32
  275            19        2606196          33
  276            19        2606215          34
  277            19        2606234          35
  278            19        2606253          36
  279            19        2606272          37
  280            19        2606291          38
  281            19        2606310          39
  282            19        2606329          40
  283            19        2606348          41
  284            19        2606367          42
  285            19        2606386          43
  286            83        2606469          44
  287            32        2606501          45
  288            32        2606533          46
  289            32        2606565          47
  290            14        2606579          48
  291             2        2606581          49
  292           322        2606903          50
  293             9        2606912          51
  294             9        2606921          52
  295             9        2606930          53
  296             9        2606939          54
  297             9        2606948          55
  298           943        2607891          56
  299          2774        2610665        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10
  300            17        2610682          2
  301            17        2610699          3
  302            17        2610716          4
  303            33        2610749          5
  304            31        2610780          6
  305            31        2610811          7
  306            30        2610841          8
  307            30        2610871          9
  308           998        2611869          10
  309            40        2611909          11
  310            38        2611947          12
  311            38        2611985          13
  312           513        2612498          14
  313            59        2612557          15
  314            59        2612616          16
  315            59        2612675          17
  316            59        2612734          18
  317            59        2612793          19
  318          1171        2613964          20
  319            16        2613980          21
  320            16        2613996          22
  321           212        2614208          23
  322             9        2614217          24
  323             9        2614226          25
  324           290        2614516          26
  325             2        2614518          27
  326             2        2614520          28
  327             2        2614522          29
  328             2        2614524          30
  329             2        2614526          31
  330             2        2614528          32
  331             2        2614530          33
  332             2        2614532          34
  333           338        2614870          35
  334             9        2614879          36
  335             9        2614888          37
  336             9        2614897          38
  337             9        2614906          39
  338             9        2614915          40
  339             9        2614924          41
  340             9        2614933          42
  341             9        2614942          43
  342             9        2614951          44
  343             9        2614960          45
  344             9        2614969          46
  345             9        2614978          47
  346             9        2614987          48
  347             9        2614996          49
  348           393        2615389          50
  349            11        2615400          51
  350            11        2615411          52
  351            11        2615422          53
  352            11        2615433          54
  353            11        2615444          55
  354            11        2615455          56
  355            11        2615466          57
  356            11        2615477          58
  357            11        2615488          59
  358            11        2615499          60
  359            11        2615510          61
  360            10        2615520          62
  361            10        2615530          63
  362            10        2615540          64
  363            17        2615557          65
  364             2        2615559          66
  365             2        2615561          67
  366            11        2615572          68
  367             2        2615574          69
  368           239        2615813          70
  369            28        2615841          71
  370            28        2615869          72
  371            28        2615897          73
  372            28        2615925          74
  373            28        2615953          75
  374            29        2615982          76
  375            29        2616011          77
  376            29        2616040          78
  377            29        2616069          79
  378            29        2616098          80
  379            29        2616127          81
  380            29        2616156          82
  381            29        2616185          83
  382            29        2616214          84
  383            28        2616242          85
  384            28        2616270          86
  385            28        2616298          87
  386            28        2616326          88
  387            28        2616354          89
  388           129        2616483          90
  389            18        2616501          91
  390           237        2616738          92
  391            25        2616763          93
  392            24        2616787          94
  393           110        2616897          95
  394             9        2616906          96
  395             9        2616915          97
  396             9        2616924          98
  397             9        2616933          99
  398             9        2616942          100
  399           986        2617928          101
  400           747        2618675        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 1
  401            17        2618692          2
  402            17        2618709          3
  403            17        2618726          4
  404            33        2618759          5
  405            31        2618790          6
  406            31        2618821          7
  407            30        2618851          8
  408            30        2618881          9
  409           897        2619778          10
  410            40        2619818          11
  411            38        2619856          12
  412            38        2619894          13
  413            75        2619969          14
  414            59        2620028          15
  415            59        2620087          16
  416            59        2620146          17
  417            59        2620205          18
  418            59        2620264          19
  419          1077        2621341          20
  420            16        2621357          21
  421            16        2621373          22
  422           261        2621634          23
  423             9        2621643          24
  424             9        2621652          25
  425            14        2621666          26
  426             2        2621668          27
  427             2        2621670          28
  428             2        2621672          29
  429             2        2621674          30
  430             2        2621676          31
  431             2        2621678          32
  432             2        2621680          33
  433             2        2621682          34
  434           338        2622020          35
  435             9        2622029          36
  436             9        2622038          37
  437             9        2622047          38
  438             9        2622056          39
  439             9        2622065          40
  440             9        2622074          41
  441             9        2622083          42
  442             9        2622092          43
  443             9        2622101          44
  444             9        2622110          45
  445             9        2622119          46
  446             9        2622128          47
  447             9        2622137          48
  448             9        2622146          49
  449           243        2622389          50
  450            11        2622400          51
  451            11        2622411          52
  452            11        2622422          53
  453            11        2622433          54
  454            11        2622444          55
  455            11        2622455          56
  456            11        2622466          57
  457            11        2622477          58
  458            11        2622488          59
  459            11        2622499          60
  460            11        2622510          61
  461            10        2622520          62
  462            10        2622530          63
  463            10        2622540          64
  464            17        2622557          65
  465             2        2622559          66
  466             2        2622561          67
  467            11        2622572          68
  468             2        2622574          69
  469           179        2622753          70
  470            28        2622781          71
  471            28        2622809          72
  472            28        2622837          73
  473            28        2622865          74
  474            28        2622893          75
  475            29        2622922          76
  476            29        2622951          77
  477            29        2622980          78
  478            29        2623009          79
  479            29        2623038          80
  480            29        2623067          81
  481            29        2623096          82
  482            29        2623125          83
  483            29        2623154          84
  484            28        2623182          85
  485            28        2623210          86
  486            28        2623238          87
  487            28        2623266          88
  488            28        2623294          89
  489            24        2623318          90
  490            18        2623336          91
  491           237        2623573          92
  492            25        2623598          93
  493            24        2623622          94
  494            63        2623685          95
  495             9        2623694          96
  496             9        2623703          97
  497             9        2623712          98
  498             9        2623721          99
  499             9        2623730          100
  500           941        2624671          101
  501           889        2625560        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 2
  502            17        2625577          2
  503            17        2625594          3
  504            17        2625611          4
  505            33        2625644          5
  506            31        2625675          6
  507            31        2625706          7
  508            30        2625736          8
  509            30        2625766          9
  510           897        2626663          10
  511            40        2626703          11
  512            38        2626741          12
  513            38        2626779          13
  514            75        2626854          14
  515            59        2626913          15
  516            59        2626972          16
  517            59        2627031          17
  518            59        2627090          18
  519            59        2627149          19
  520          1143        2628292          20
  521            16        2628308          21
  522            16        2628324          22
  523           299        2628623          23
  524             9        2628632          24
  525             9        2628641          25
  526            14        2628655          26
  527             2        2628657          27
  528             2        2628659          28
  529             2        2628661          29
  530             2        2628663          30
  531             2        2628665          31
  532             2        2628667          32
  533             2        2628669          33
  534             2        2628671          34
  535           338        2629009          35
  536             9        2629018          36
  537             9        2629027          37
  538             9        2629036          38
  539             9        2629045          39
  540             9        2629054          40
  541             9        2629063          41
  542             9        2629072          42
  543             9        2629081          43
  544             9        2629090          44
  545             9        2629099          45
  546             9        2629108          46
  547             9        2629117          47
  548             9        2629126          48
  549             9        2629135          49
  550           243        2629378          50
  551            11        2629389          51
  552            11        2629400          52
  553            11        2629411          53
  554            11        2629422          54
  555            11        2629433          55
  556            11        2629444          56
  557            11        2629455          57
  558            11        2629466          58
  559            11        2629477          59
  560            11        2629488          60
  561            11        2629499          61
  562            10        2629509          62
  563            10        2629519          63
  564            10        2629529          64
  565            17        2629546          65
  566             2        2629548          66
  567             2        2629550          67
  568            11        2629561          68
  569             2        2629563          69
  570           179        2629742          70
  571            28        2629770          71
  572            28        2629798          72
  573            28        2629826          73
  574            28        2629854          74
  575            28        2629882          75
  576            29        2629911          76
  577            29        2629940          77
  578            29        2629969          78
  579            29        2629998          79
  580            29        2630027          80
  581            29        2630056          81
  582            29        2630085          82
  583            29        2630114          83
  584            29        2630143          84
  585            28        2630171          85
  586            28        2630199          86
  587            28        2630227          87
  588            28        2630255          88
  589            28        2630283          89
  590            24        2630307          90
  591            18        2630325          91
  592           237        2630562          92
  593            25        2630587          93
  594            24        2630611          94
  595           110        2630721          95
  596             9        2630730          96
  597             9        2630739          97
  598             9        2630748          98
  599             9        2630757          99
  600             9        2630766          100
  601          1034        2631800          101
  602           686        2632486        Cena 1 copiado(s) copiado(s) 1 copiado(s) 10 copiado(s) 3
  603            17        2632503          2
  604            17        2632520          3
  605            17        2632537          4
  606            33        2632570          5
  607            31        2632601          6
  608            31        2632632          7
  609            30        2632662          8
  610            30        2632692          9
  611           897        2633589          10
  612            40        2633629          11
  613            38        2633667          12
  614            38        2633705          13
  615            75        2633780          14
  616            59        2633839          15
  617            59        2633898          16
  618            59        2633957          17
  619            59        2634016          18
  620            59        2634075          19
  621          1005        2635080          20
  622            16        2635096          21
  623            16        2635112          22
  624           224        2635336          23
  625             9        2635345          24
  626             9        2635354          25
  627            14        2635368          26
  628             2        2635370          27
  629             2        2635372          28
  630             2        2635374          29
  631             2        2635376          30
  632             2        2635378          31
  633             2        2635380          32
  634             2        2635382          33
  635             2        2635384          34
  636           338        2635722          35
  637             9        2635731          36
  638             9        2635740          37
  639             9        2635749          38
  640             9        2635758          39
  641             9        2635767          40
  642             9        2635776          41
  643             9        2635785          42
  644             9        2635794          43
  645             9        2635803          44
  646             9        2635812          45
  647             9        2635821          46
  648             9        2635830          47
  649             9        2635839          48
  650             9        2635848          49
  651           243        2636091          50
  652            11        2636102          51
  653            11        2636113          52
  654            11        2636124          53
  655            11        2636135          54
  656            11        2636146          55
  657            11        2636157          56
  658            11        2636168          57
  659            11        2636179          58
  660            11        2636190          59
  661            11        2636201          60
  662            11        2636212          61
  663            10        2636222          62
  664            10        2636232          63
  665            10        2636242          64
  666            17        2636259          65
